CODI_PROGRAMA,CODI_EXPEDIENT,SEXE,CP_FAMILIAR,ANY_ACCES,TIPUS_ACCES,VIA_ACCES,NOTA_ACCES,CENTRE_SECUNDARIA,CP_CENTRE_SEC
752,254786,D,31395,2011,1,0,9.436,,
752,261708,D,08015,2012,1,0,12.92,"SUNION, INST.CULTURAL CATALANA",08023
752,262084,H,08980,2012,1,0,12.586,"BON SALVADOR, COL.LEGI",08980
752,261088,D,43791,2012,1,0,11.468,INST.FLIX,43750
752,251208,D,20120,2011,1,0,10.372,,
752,250480,H,08025,2011,1,0,9.626,INST.LA SEDETA,08025
752,249953,H,00000,2011,1,0,9.665,,
752,251070,H,08029,2011,1,0,10.804,ESC.PROF.SALESIANA,08017
752,242653,D,08017,2009,1,0,8.29,FREDERIC MISTRAL-TÈCNIC EULÀLI,08034
752,250948,H,08034,2011,1,0,10.308,INSTITUCIO CULTURAL DEL CIC,08021
752,250869,H,03182,2011,1,0,10.726,,
752,250115,H,08880,2010,1,0,6.902,SALESIANS SANT VICENC DELS HOR,08620
752,254421,H,08500,2011,1,0,9.524,SANT MIQUEL DELS SANTS,08500
752,250895,H,08870,2011,1,0,11.788,,
752,250745,H,08034,2011,1,0,10.24,SANT IGNASI- SARRIÀ,08017
752,248562,H,08030,2011,1,0,10.06,GRANES,08008
752,249058,H,08022,2011,1,0,9.78,SANT IGNASI- SARRIÀ,08017
752,260533,D,08027,2012,1,0,12.248,INST.MANUEL CARRASCO I FORMIG.,08031
752,259761,H,07720,2012,1,0,11.746,,
752,260548,H,08310,2012,1,0,12.214,ESCOLA PIA SANTA ANNA MATARO,08302
752,260581,H,20014,2012,1,0,11.648,,
752,258489,D,08912,2012,1,0,11.702,INST.LA LLAUNA,08912
752,258507,D,99999,2012,1,0,10.67,,
752,260495,H,07819,2012,1,0,11.878,,
752,258295,H,22430,2012,1,0,10.949,,
752,261527,H,08037,2012,1,0,11.574,STUCOM,08001
752,259148,H,08320,2012,1,0,11.966,INST.MEDITERRANIA-MASNOU,08320
752,260971,H,43005,2012,1,0,11.564,LA SALLE-TARRAGONA,43007
752,260569,H,08700,2012,1,0,11.678,MESTRAL - JORBA,08719
752,261580,H,08036,2012,1,0,10.61,SANT IGNASI- SARRIÀ,08017
752,261591,H,08904,2012,1,0,10.978,GARBI PERE VERGES-ESPLUGUES,08950
752,259401,H,08640,2012,1,0,10.828,DAINA ISARD,08640
752,262102,H,08903,2012,1,0,12.654,PADRE DAMIAN-SAGRADOS CORAZONE,08017
752,261169,H,08172,2012,1,0,13.04,SANT IGNASI- SARRIÀ,08017
752,261170,H,08023,2012,1,0,10.866,FREDERIC MISTRAL-TÈCNIC EULÀLI,08034
752,262075,H,08030,2012,1,0,11.396,SAGRADA FAMÍLIA - ARQUIMIDES,08030
752,261897,H,08017,2012,1,0,11.952,SANT IGNASI- SARRIÀ,08017
752,261942,D,08700,2012,1,0,12.196,ESCOLA PIA D'IGUALADA,08700
752,261301,H,43002,2012,1,0,11.354,SANTA TERESA DE JESÚS,43003
752,261830,D,08008,2012,1,0,12.288,INFANT JESÚS,08006
752,261367,H,08530,2012,1,0,12.142,INST.VIL.LA ROMANA,08530
752,261231,H,43700,2012,1,0,12.58,SANT JOSEP - SANT SADURNI,08770
752,261872,H,08460,2012,1,0,10.624,INST.REGUISSOL,08460
752,261150,D,08221,2012,1,0,10.978,INSTITUCIO CULTURAL DEL CIC,08021
752,261273,H,08031,2012,1,0,10.746,SAGRADA FAMÍLIA-HORTA,08032
752,260462,H,08440,2013,1,0,10.266,SEK-CATALUNYA,08530
752,260465,H,08021,2012,1,0,12.796,REIAL MONESTIR DE SANTA ISABEL,08017
752,264620,H,25700,2012,1,0,10.382,LA SALLE BONANOVA,08022
752,265302,H,08755,2012,1,0,11.288,INST.CASTELLBISBAL,08755
752,264800,H,08027,2012,1,0,10.39,LA SALLE CONGRÉS,08027
752,264805,H,08940,2012,1,0,10.774,ESC.PROF.SALESIANA,08017
752,264542,H,08904,2012,1,0,12.022,INST.BRUGUERS,08850
752,258113,H,08021,2011,1,0,8.578,"AULA, ESCUELA EUROPEA",08034
752,258117,H,08036,2012,1,0,7.026,INFANT JESÚS,08006
752,258865,H,08859,2012,1,0,12.54,SAGRADA FAMÍLIA-GAVÀ,08850
752,258885,H,08035,2012,1,0,10.77,GRAVI,08035
752,259585,H,08035,2012,1,0,12.162,FREDERIC MISTRAL-TÈCNIC EULÀLI,08034
752,258599,H,08924,2012,1,0,10.562,INST.LES VINYES,08924
752,258605,H,25199,2012,1,0,11.302,CLAVER,25111
752,260071,D,07190,2012,1,0,10.802,,
752,259998,D,08006,2012,1,0,11.338,FREDERIC MISTRAL-TÈCNIC EULÀLI,08034
752,260006,H,08025,2012,1,0,10.826,CLARET-BARCELONA,08025
752,258550,H,00000,2012,1,0,13.012,,
752,258824,D,08291,2012,1,0,11.726,INST.CAN MAS,08291
752,259652,H,08490,2012,1,0,11.598,VEDRUNA-MALGRAT DE MAR,08380
752,258888,D,07820,2012,1,0,13.276,INST.COSTA I LLOBERA,08017
752,260402,H,08012,2012,1,0,12.418,INFANT JESÚS,08006
752,258944,H,07703,2012,1,0,10.484,,
752,259480,D,08034,2012,1,0,10.892,LA SALLE BONANOVA,08022
752,259487,H,08700,2012,1,0,10.53,ESCOLA PIA D'IGUALADA,08700
752,258627,H,08005,2012,1,0,11.152,GARBI PERE VERGES-BADALONA,08916
752,260673,H,08391,2012,1,0,11.282,"MIREIA,C.E.",08390
752,258836,H,08023,2012,1,0,10.558,FREDERIC MISTRAL-TÈCNIC EULÀLI,08034
752,258957,H,08870,2012,1,0,10.685,,
752,260848,H,08025,2010,1,0,11.36,"MONTSERRAT, COL·LEGI",08017
752,260200,H,08820,2012,1,0,10.98,"SUNION, INST.CULTURAL CATALANA",08023
752,275012,H,08025,2013,1,0,13.386,FREDERIC MISTRAL-TÈCNIC EULÀLI,08034
752,274906,H,08790,2013,1,0,11.032,LLEÓ XIII,08022
752,265060,H,08340,2012,1,0,10.384,ESCOLA PIA SANTA ANNA MATARO,08302
752,269763,D,08021,2011,1,0,9.736,,
752,269770,H,08830,2010,1,0,11.458,SANT JOSEP - SANT BOI,08830
752,264997,H,16200,2012,1,0,11.468,,
752,275244,H,08026,2014,1,0,10.44,JESUÏTES CASP-SAGRATCORDEJESÚS,08010
752,275937,H,08005,2015,1,0,10.352,INST.ICÀRIA,08005
752,276673,H,08027,2013,1,0,10.054,JESUS MARIA - MERIDIANA,08030
752,275267,H,43716,2013,1,0,13.092,INST.BAIX PENEDÈS,43700
752,276713,D,08503,2013,1,0,11.374,SANT MIQUEL DELS SANTS,08500
752,275374,H,08940,2015,1,0,10.058,INST.JOAN MIRO-CORNELLA,08940
752,276608,H,25230,2013,1,0,11.012,CLAVER,25111
752,275968,H,08430,2013,1,0,10.542,EDUCEM II,08400
752,275652,H,08640,2013,1,0,9.962,INST.CREU DE SABA,08640
752,275297,H,08038,2013,1,0,10.17,INST.XXV OLIMPÍADA,08004
752,275397,H,46780,2013,1,0,11.18,,
752,276949,H,08025,2013,1,0,11.346,SAGRAT COR-DIPUTACIÓ,08009
752,276951,H,25003,2013,1,0,11.022,INST.SAMUEL GILI I GAYA,25002
752,276491,H,17002,2013,1,0,11.116,BELL-LLOC DEL PLA,17005
752,275502,D,07141,2013,1,0,10.936,,
752,275080,D,08012,2013,1,0,11.686,BETÀNIA-PATMOS,08034
752,275060,H,08011,2013,1,0,10.424,FREDERIC MISTRAL-TÈCNIC EULÀLI,08034
752,274958,H,08015,2013,1,0,10.752,BETÀNIA-PATMOS,08034
752,276146,H,08500,2013,1,0,12.85,INST.VIC,08500
752,275023,H,08032,2012,1,0,11.59,FREDERIC MISTRAL-TÈCNIC EULÀLI,08034
752,274965,H,43870,2013,1,0,12.07,INST.TECN ESPORT TERRES EBRE,43870
752,274220,D,08770,2011,1,0,12.14,SANT JOSEP - SANT SADURNI,08770
752,274785,H,08840,2015,1,0,10.03,,
752,273878,H,07620,2013,1,0,8.068,,
752,273880,H,08711,2013,1,0,9.514,INST.PERE VIVES VICH,08700
752,273891,H,48013,2013,1,0,6.728,,
752,274308,D,08021,2013,1,0,11.66,INSTITUCIO CULTURAL DEL CIC,08021
752,274825,H,08020,2013,1,0,10.22,EL CLOT,08027
752,273958,H,25006,2013,1,0,12.186,INST.RONDA,25003
752,274159,D,25700,2013,1,0,12.308,INST.JOAN BRUDIEU,25700
752,274172,H,08796,2013,1,0,12.668,SANT JOSEP - SANT SADURNI,08770
752,273970,H,08796,2013,1,0,10.466,SANT JOSEP - SANT SADURNI,08770
752,280215,H,08027,2013,1,0,11.986,"JESÚS, MARIA I JOSEP",08030
752,280126,H,08024,2013,1,0,10.102,LA SALLE GRÀCIA,08024
752,277854,D,25300,2013,1,0,11.104,INST.MANUEL DE PEDROLO,25300
752,277884,H,08450,2013,1,0,10.166,TALLER GINEBRO,08440
752,277714,H,08017,2013,1,0,10.218,FREDERIC MISTRAL-TÈCNIC EULÀLI,08034
752,280086,D,07010,2013,1,0,10.668,,
752,277051,H,08560,2013,1,0,9.946,LA SALLE MANLLEU,08560
752,277734,H,08750,2013,1,0,10.748,ESCOLA PIA DE SARRIA,08017
752,276304,H,08403,2013,1,0,9.93,INST.M E.MUNICIPAL DEL TREBALL,08401
752,276397,H,08640,2013,1,0,11.212,INST.DANIEL BLANXART I PEDRALS,08640
752,280247,H,08014,2013,1,0,9.854,ESCOLA PIA DE SARRIA,08017
752,276442,H,08023,2013,1,0,11.92,SANT IGNASI- SARRIÀ,08017
752,276260,H,08870,2013,1,0,12.45,,
752,276292,H,08011,2013,1,0,10.62,JESUÏTES CASP-SAGRATCORDEJESÚS,08010
752,278138,H,08019,2013,1,0,9.93,ESCOLA PIA DE NOSTRA SENYORA,08007
752,278286,H,08402,2013,1,0,10.71,"CERVETO, ESCOLA",08401
752,277339,H,08290,2013,1,0,11.586,INST.FORAT DEL VENT,08290
752,277242,H,29600,2014,1,0,10.786,,
752,277512,H,25740,2013,1,0,10.27,INST.PONTS,25740
752,277913,H,08450,2013,1,0,10.444,ESCOLA PIA DE GRANOLLERS,08520
752,277021,H,43870,2013,1,0,11.198,INST.RAMON BERENGUER IV-AMP.,43870
752,279025,H,08401,2013,1,0,11.972,TALLER GINEBRO,08440
752,279047,H,08914,2013,1,0,11.834,CULTURAL,08911
752,277288,H,43203,2013,1,0,11.856,INST.GABRIEL FERRATER I SOLER,43206
752,278971,H,08330,2013,1,0,11.126,INST.PREMIÀ DE MAR,08330
752,277630,H,08540,2013,1,0,11.344,INST.PERE BARNILS,08540
752,278194,H,08174,2013,1,0,11.69,VIARÓ,08173
752,278214,H,08756,2013,1,0,11.558,INST.CORBERA DE LLOBREGAT,08757
752,276968,H,17002,2013,1,0,12.552,LA SALLE GIRONA,17002
752,276983,H,08770,2012,1,0,11.32,SANT JOSEP - SANT SADURNI,08770
752,277493,H,08022,2013,1,0,11.788,SAGRAT COR-SARRIÀ,08034
752,292917,H,08173,2014,1,0,12.41,,
752,292918,H,08172,2014,1,0,11.986,EUROPA INTERNATIONAL SCHOOL,08172
752,292926,H,08025,2014,1,0,12.06,VIROLAI,08032
752,292931,H,08014,2014,1,0,10.512,PROA,08014
752,292503,H,17007,2014,1,0,8.474,INST.C.A.R.,08174
752,289280,H,08021,2014,1,0,10.452,"AULA, ESCUELA EUROPEA",08034
752,289283,H,08172,2014,1,0,10.896,VIARÓ,08173
752,289286,H,08690,2014,1,0,12.766,FREDERIC MISTRAL-TÈCNIC EULÀLI,08034
752,289290,H,08008,2014,1,0,12.31,,
752,289293,H,08029,2014,1,0,12.02,"AULA, ESCUELA EUROPEA",08034
752,289302,H,08015,2014,1,0,11.13,ABAT OLIBA LORETO,08034
752,289303,H,43001,2014,1,0,10.776,LESTONNAC-L'ENSENYANÇA TARRAGO,43003
752,289245,H,08025,2014,1,0,10.558,PADRE DAMIAN-SAGRADOS CORAZONE,08017
752,289249,H,07350,2014,1,0,11.106,,
752,289154,H,08197,2014,1,0,10.03,,
752,289159,H,08470,2014,1,0,9.828,INST.BAIX MONTSENY,08470
752,289160,H,08017,2011,1,0,8.4,SANT IGNASI- SARRIÀ,08017
752,289161,H,22500,2014,1,0,9.39,CLAVER,25111
752,289255,D,08022,2014,1,0,12.274,CANIGÓ,08022
752,289260,D,17003,2014,1,0,10.002,LA SALLE GIRONA,17002
752,289318,H,00000,2014,1,0,11.673,,
752,289322,H,08010,2014,1,0,11.144,JESUÏTES CASP-SAGRATCORDEJESÚS,08010
752,289334,H,08017,2014,1,0,11.372,FREDERIC MISTRAL-TÈCNIC EULÀLI,08034
752,288983,H,08017,2014,1,0,9.882,INST.C.A.R.,08174
752,288990,H,04720,2014,1,0,11.377,,
752,289003,H,43001,2014,1,0,11.23,TURÓ,43120
752,289005,D,08970,2014,1,0,12.278,"BON SALVADOR, COL.LEGI",08980
752,289179,H,08034,2014,1,0,9.732,REIAL MONESTIR DE SANTA ISABEL,08017
752,289181,D,08023,2014,1,0,12.668,JESUS I MARIA - SANT GERVASI,08022
752,289187,H,08025,2014,1,0,11.036,VIROLAI,08032
752,289194,H,08302,2014,1,0,11.79,INST.M MIQUEL BIADA,08303
752,289100,H,08870,2014,1,0,11.846,ESCOLA PIA DE SITGES,08870
752,289101,H,25004,2014,1,0,12.224,LESTONNAC - LLEIDA,25008
752,289022,H,07190,2014,1,0,11.954,,
752,289028,H,08183,2014,1,0,11.788,SANT MIQUEL,08036
752,289127,H,08980,2014,1,0,9.904,"BON SALVADOR, COL.LEGI",08980
752,289128,H,00000,2014,1,0,11.151,,
752,289036,H,08014,2014,1,0,9.886,JOAN PELEGRÍ,08014
752,289401,H,08022,2014,1,0,9.576,"SUNION, INST.CULTURAL CATALANA",08023
752,289410,H,25005,2014,1,0,12.512,LESTONNAC - LLEIDA,25008
752,289141,H,12002,2014,1,0,10.695,,
752,289212,H,25110,2014,1,0,10.498,CLAVER,25111
752,289220,H,08037,2014,1,0,13.3,,
752,289227,H,08013,2014,1,0,12.074,SAGRAT COR-DIPUTACIÓ,08009
752,289241,H,08023,2014,1,0,9.864,ESCOLA PIA DE SARRIA,08017
752,289056,D,00000,2014,1,0,12.896,,
752,289060,H,07141,2014,1,0,12.126,,
752,289068,H,43500,2014,1,0,11.484,INST.JOAQUIM BAU,43500
752,289087,H,08015,2014,1,0,10.924,INST.ERNEST LLUCH,08015
752,289373,H,08915,2014,1,0,11.198,MARISTES CHAMPAGNAT,08912
752,289378,H,43500,2014,1,0,12.506,INST.JOAQUIM BAU,43500
752,289096,H,08348,2014,1,0,9.71,MARISTES VALLDEMIA,08301
752,289268,H,08037,2014,1,0,11.076,FREDERIC MISTRAL-TÈCNIC EULÀLI,08034
752,289270,H,08010,2014,1,0,12.08,,
752,289271,H,08182,2014,1,0,13.346,ESCOLA PIA DE CALDES DE MONTB.,08140
752,288960,H,08025,2014,1,0,11.53,PALCAM,08025
752,289364,H,08016,2014,1,0,11.124,INST.VALLDEMOSSA,08016
752,289206,H,08028,2014,1,0,9.492,SANT PETER'S SCHOOL,08034
752,288966,H,08195,2014,1,0,10.992,SANT IGNASI- SARRIÀ,08017
752,288975,H,17003,2014,1,0,9.526,INST.JAUME VICENS VIVES,17004
752,288976,H,08173,2014,1,0,11.744,FREDERIC MISTRAL-TÈCNIC EULÀLI,08034
752,288978,H,08028,2014,1,0,13.21,MARISTES LES CORTS,08014
752,288980,H,08005,2014,1,0,10.386,"AULA, ESCUELA EUROPEA",08034
752,289391,H,08041,2014,1,0,9.572,"AULA, ESCUELA EUROPEA",08034
752,289210,D,07011,2014,1,0,12.064,,
752,289040,H,08290,2014,1,0,10.516,MADRES CONCEP.DE LA ENSEñANZA,08006
752,289042,H,08906,2014,1,0,9.472,TECLA SALA,08901
752,294149,H,08021,2014,1,0,11.006,VIARÓ,08173
752,326171,H,08017,2016,1,0,10.694,SANTA TERESA - GANDUXER,08022
752,304052,H,08400,2015,1,0,11.694,EDUCEM II,08400
752,304328,H,08015,2015,1,0,12.582,JESUÏTES CASP-SAGRATCORDEJESÚS,08010
752,304333,H,08340,2015,1,0,12.928,INST.PERE RIBOT,08340
752,304159,H,08013,2015,1,0,9.906,INST.M JUAN MANUEL ZAFRA,08026
752,304162,H,08013,2015,1,0,11.424,,
752,304163,H,08009,2015,1,0,10.624,JESUÏTES CASP-SAGRATCORDEJESÚS,08010
752,304300,H,03780,2015,1,0,10.778,,
752,304306,H,08023,2015,1,0,11.874,FREDERIC MISTRAL-TÈCNIC EULÀLI,08034
752,304308,H,08029,2015,1,0,11.744,ESC.PROF.SALESIANA,08017
752,304316,H,08002,2015,1,0,9.722,INST.M JOSEP SERRAT I BONASTRE,08023
752,304030,H,08840,2015,1,0,9.91,SAGRADA FAMÍLIA-GAVÀ,08850
752,304032,H,08970,2015,1,0,10.718,VIARÓ,08173
752,304033,H,08024,2014,1,0,8.02,INST.SECRETARI COLOMA,08025
752,304045,H,08500,2015,1,0,10.976,SANT MIQUEL DELS SANTS,08500
752,304060,H,08018,2015,1,0,11.492,EL CLOT,08027
752,322112,H,08540,2016,1,0,10.422,INST.PERE BARNILS,08540
752,322126,D,08023,2016,1,0,13.028,FREDERIC MISTRAL-TÈCNIC EULÀLI,08034
752,322127,D,08037,2016,1,0,10.18,VEDRUNA-GRÀCIA,08012
752,322129,H,08970,2016,1,0,11.576,"LA MIRANDA, INSTITUCIO",08960
752,321805,H,08540,2016,1,0,12.506,INST.PERE BARNILS,08540
752,325205,H,08028,2016,1,0,10.292,"AULA, ESCUELA EUROPEA",08034
752,325209,H,43781,2016,1,0,9.982,INST.TERRA ALTA,43780
752,325214,H,08006,2016,1,0,11.07,,
752,321809,H,08700,2016,1,0,12.238,INST.JOAN MERCADER,08700
752,321813,D,08013,2016,1,0,11.992,PADRE DAMIAN-SAGRADOS CORAZONE,08017
752,325215,H,08023,2016,1,0,11.05,,
752,321824,H,08859,2016,1,0,11.006,SANTO ANGEL - GAVÀ,08850
752,321833,H,25540,2016,1,0,10.472,INST.ARAN,25530
752,321975,H,08758,2016,1,0,10.334,INST.CORBERA DE LLOBREGAT,08757
752,304062,H,08260,2015,1,0,10.334,INST.MIG-MON,08260
752,304247,H,35423,2015,1,0,13.353,,
752,304253,H,43007,2015,1,0,12.806,INST.ANTONI MARTÍ I FRANQUÈS,43005
752,304257,H,08290,2015,1,0,10.046,INST.BANÚS,08290
752,304262,H,08940,2015,1,0,11.286,INST.JAUME SALVADOR I PEDROL,08970
752,304277,D,17480,2015,1,0,10.628,INST.CAP NORFEU,17480
752,304340,D,08017,2015,1,0,13.7,ABAT OLIBA LORETO,08034
752,304344,H,08172,2015,1,0,10.886,PADRE DAMIAN-SAGRADOS CORAZONE,08017
752,304347,D,17600,2015,1,0,13.14,INST.ALEXANDRE DEULOFEU,17600
752,304349,D,08037,2015,1,0,10.854,JESUÏTES CASP-SAGRATCORDEJESÚS,08010
752,304075,H,08800,2015,1,0,9.704,INST.MANUEL DE CABANYES,08800
752,304082,H,08370,2015,1,0,11.966,FRETA-CALELLA,08370
752,304173,H,08917,2015,1,0,12.118,"BADALONÈS, COL.LEGI",08912
752,304187,H,08739,2015,1,0,13.76,INST.M E.INTERMUN.DEL PENEDES,08770
752,304189,H,08006,2015,1,0,10.622,INFANT JESÚS,08006
752,304192,H,08029,2015,1,0,12.364,PARE MANYANET,08029
752,304362,H,08903,2015,1,0,10.306,JOAN PELEGRÍ,08014
752,304363,H,08190,2015,1,0,9.858,AGORA SANT CUGAT IS,08174
752,304369,H,08172,2015,1,0,9.836,FREDERIC MISTRAL-TÈCNIC EULÀLI,08034
752,304197,H,08520,2015,1,0,10.038,TALLER GINEBRO,08440
752,304371,H,08197,2016,1,0,9.016,SANT PETER'S SCHOOL,08034
752,304379,H,25006,2016,1,0,11.394,INST.SAMUEL GILI I GAYA,25002
752,304380,H,08034,2015,1,0,9.868,SAGRAT COR-SARRIÀ,08034
